"","gravidae","outcome","mediator","mediator_label","age_group","n","ACME_CI"
"131","single","whz_quarter","birthweight_kg","Birth weight (kg)","1 day-3 months",137,"-0.0069 (-0.1022, 0.0951)"
"132","single","whz_quarter","birthweight_kg","Birth weight (kg)",">3-6 months",134,"0.0208 (-0.0822, 0.1516)"
"133","single","whz_quarter","birthweight_kg","Birth weight (kg)",">6-9 months",127,"-0.004 (-0.0899, 0.0831)"
"134","single","whz_quarter","birthweight_kg","Birth weight (kg)",">9-12 months",121,"0.0053 (-0.0936, 0.1146)"
"135","single","whz_quarter","CCL11",NA,"Birth",51,"0.0045 (-0.146, 0.1742)"
"136","single","whz_quarter","CCL11",NA,"1 day-3 months",50,"-0.005 (-0.165, 0.1281)"
"137","single","whz_quarter","CCL11",NA,">3-6 months",51,"-0.0128 (-0.2856, 0.1998)"
"138","single","whz_quarter","CCL11",NA,">6-9 months",51,"-0.0011 (-0.2203, 0.1929)"
"139","single","whz_quarter","CCL11",NA,">9-12 months",51,"-0.0036 (-0.254, 0.2144)"
"140","single","whz_quarter","CCL19",NA,"Birth",51,"0.0015 (-0.1641, 0.1729)"
"141","single","whz_quarter","CCL19",NA,"1 day-3 months",50,"0.0013 (-0.1112, 0.1117)"
"142","single","whz_quarter","CCL19",NA,">3-6 months",51,"0.0017 (-0.177, 0.1702)"
"143","single","whz_quarter","CCL19",NA,">6-9 months",51,"0.0017 (-0.1426, 0.1389)"
"144","single","whz_quarter","CCL19",NA,">9-12 months",51,"0.0025 (-0.1537, 0.1601)"
"145","single","whz_quarter","CCL28",NA,"Birth",51,"0.0802 (-0.1454, 0.4394)"
"146","single","whz_quarter","CCL28",NA,"1 day-3 months",50,"-0.0427 (-0.2572, 0.0947)"
"147","single","whz_quarter","CCL28",NA,">3-6 months",51,"-0.1404 (-0.4761, 0.0717)"
"148","single","whz_quarter","CCL28",NA,">6-9 months",51,"-0.1298 (-0.4939, 0.0882)"
"149","single","whz_quarter","CCL28",NA,">9-12 months",51,"-0.1355 (-0.4484, 0.0664)"
"150","single","whz_quarter","CD244",NA,"Birth",51,"0.1252 (-0.0516, 0.396)"
"151","single","whz_quarter","CD244",NA,"1 day-3 months",50,"0.1106 (-0.0539, 0.364)"
"152","single","whz_quarter","CD244",NA,">3-6 months",51,"0.1548 (-0.1078, 0.5334)"
"153","single","whz_quarter","CD244",NA,">6-9 months",51,"0.2031 (-0.0255, 0.5762)"
"154","single","whz_quarter","CD244",NA,">9-12 months",51,"0.1998 (-0.0542, 0.6117)"
"155","single","whz_quarter","CD5",NA,"Birth",51,"0.0995 (-0.1451, 0.4222)"
"156","single","whz_quarter","CD5",NA,"1 day-3 months",50,"0.0589 (-0.1799, 0.3443)"
"157","single","whz_quarter","CD5",NA,">3-6 months",51,"0.1922 (-0.0009, 0.4863)"
"158","single","whz_quarter","CD5",NA,">6-9 months",51,"0.1284 (-0.0683, 0.4179)"
"159","single","whz_quarter","CD5",NA,">9-12 months",51,"0.118 (-0.0909, 0.4212)"
