,Mediator,Outcome,Gravidity,Age group,N,Interaction,Aim1 effect,Total effect,Total effect 95% CI,Average mediated effect,Average mediated effect 95% CI,ACME p after BH adjustment,Average direct effect,Average direct effect 95% CI
53,Anemia at gestational week 28,Weight-for-age Z score,Single,>6-9 months,122,1,0.1264,-0.0312,"[-0.4656, 0.3948]",-0.0403,"[-0.1646, 0.0477]",NA,0.009,"[-0.4236, 0.4367]"
54,Anemia at gestational week 28,Weight-for-age Z score,Single,>6-9 months,122,0,-0.0015,-0.0447,"[-0.4545, 0.3957]",-0.0374,"[-0.1663, 0.0483]",NA,-0.0072,"[-0.421, 0.4392]"
55,Anemia at gestational week 28,Weight-for-age Z score,All,>9-12 months,548,1,0.0282,0.0292,"[-0.1508, 0.214]",0.0056,"[-0.0113, 0.0283]",NA,0.0236,"[-0.1643, 0.2084]"
56,Anemia at gestational week 28,Weight-for-age Z score,All,>9-12 months,548,0,0.0181,0.0219,"[-0.1548, 0.202]",0.0056,"[-0.0123, 0.028]",NA,0.0164,"[-0.1569, 0.1976]"
57,Anemia at gestational week 28,Weight-for-age Z score,Multi,>9-12 months,432,1,0.0232,0.0593,"[-0.1453, 0.2612]",0.0003,"[-0.0303, 0.0341]",NA,0.059,"[-0.1369, 0.2549]"
58,Anemia at gestational week 28,Weight-for-age Z score,Multi,>9-12 months,432,0,0.0532,0.0509,"[-0.1465, 0.2556]",-0.0001,"[-0.0312, 0.0307]",NA,0.0509,"[-0.1426, 0.2504]"
59,Anemia at gestational week 28,Weight-for-age Z score,Single,>9-12 months,116,1,0.1593,-0.0538,"[-0.4719, 0.371]",-0.0324,"[-0.149, 0.0399]",NA,-0.0214,"[-0.4359, 0.398]"
60,Anemia at gestational week 28,Weight-for-age Z score,Single,>9-12 months,116,0,-0.0348,-0.0696,"[-0.4727, 0.3711]",-0.0293,"[-0.1398, 0.0402]",NA,-0.0403,"[-0.4428, 0.4017]"
61,Anemia at gestational week 28,Weight-for-length Z score,All,Birth,582,1,0.1348,-0.0022,"[-0.2127, 0.215]",-0.003,"[-0.0235, 0.0116]",NA,0.0008,"[-0.2116, 0.2176]"
62,Anemia at gestational week 28,Weight-for-length Z score,All,Birth,582,0,-0.0065,-0.0119,"[-0.2115, 0.2059]",-0.0028,"[-0.0229, 0.0103]",NA,-0.009,"[-0.2064, 0.2064]"
63,Anemia at gestational week 28,Weight-for-length Z score,Multi,Birth,450,1,0.0852,-0.0567,"[-0.2989, 0.1902]",0,"[-0.0168, 0.0173]",NA,-0.0566,"[-0.2988, 0.1809]"
64,Anemia at gestational week 28,Weight-for-length Z score,Multi,Birth,450,0,-0.0654,-0.0674,"[-0.3048, 0.1823]",0.0003,"[-0.016, 0.016]",NA,-0.0677,"[-0.3021, 0.1758]"
65,Anemia at gestational week 28,Weight-for-length Z score,Single,Birth,132,1,0.6077,0.2746,"[-0.1831, 0.7305]",-0.0448,"[-0.1666, 0.0365]",NA,0.3194,"[-0.1402, 0.7779]"
66,Anemia at gestational week 28,Weight-for-length Z score,Single,Birth,132,0,0.3061,0.2612,"[-0.1651, 0.7256]",-0.0445,"[-0.1662, 0.0327]",NA,0.3057,"[-0.1549, 0.7672]"
67,Anemia at gestational week 28,Weight-for-length Z score,All,1 day-3 months,581,1,0.2655,0.1782,"[0.016, 0.3464]",-0.0028,"[-0.0191, 0.0091]",NA,0.1811,"[0.0181, 0.3504]"
68,Anemia at gestational week 28,Weight-for-length Z score,All,1 day-3 months,581,0,0.1757,0.1714,"[0.0226, 0.3375]",-0.0025,"[-0.0187, 0.0082]",NA,0.174,"[0.0234, 0.3375]"
69,Anemia at gestational week 28,Weight-for-length Z score,Multi,1 day-3 months,450,1,0.2874,0.2406,"[0.0628, 0.4259]",-0.0002,"[-0.0116, 0.0113]",NA,0.2408,"[0.0634, 0.4256]"
70,Anemia at gestational week 28,Weight-for-length Z score,Multi,1 day-3 months,450,0,0.2351,0.2337,"[0.053, 0.4208]",0.0001,"[-0.0103, 0.0108]",NA,0.2336,"[0.0552, 0.4174]"
71,Anemia at gestational week 28,Weight-for-length Z score,Single,1 day-3 months,131,1,0.3005,0.0268,"[-0.3829, 0.4402]",-0.0803,"[-0.2312, 0.0126]",NA,0.1071,"[-0.2904, 0.5163]"
72,Anemia at gestational week 28,Weight-for-length Z score,Single,1 day-3 months,131,0,0.0938,0.0114,"[-0.3791, 0.4355]",-0.0793,"[-0.2263, 0.0161]",NA,0.0907,"[-0.3036, 0.4841]"
73,Anemia at gestational week 28,Weight-for-length Z score,All,>3-6 months,574,1,0.2368,0.0882,"[-0.091, 0.2768]",0.0024,"[-0.0094, 0.0179]",NA,0.0858,"[-0.096, 0.2778]"
74,Anemia at gestational week 28,Weight-for-length Z score,All,>3-6 months,574,0,0.0786,0.0793,"[-0.0992, 0.2651]",0.003,"[-0.0091, 0.0219]",NA,0.0763,"[-0.0953, 0.2584]"
75,Anemia at gestational week 28,Weight-for-length Z score,Multi,>3-6 months,446,1,0.2377,0.1502,"[-0.0582, 0.3498]",-0.0012,"[-0.0302, 0.0301]",NA,0.1515,"[-0.0574, 0.3493]"
76,Anemia at gestational week 28,Weight-for-length Z score,Multi,>3-6 months,446,0,0.144,0.1414,"[-0.061, 0.344]",-0.0009,"[-0.0308, 0.0283]",NA,0.1424,"[-0.051, 0.3408]"
77,Anemia at gestational week 28,Weight-for-length Z score,Single,>3-6 months,128,1,0.3942,-0.0629,"[-0.4902, 0.3463]",-0.0797,"[-0.2171, 0.008]",NA,0.0168,"[-0.3824, 0.3997]"
78,Anemia at gestational week 28,Weight-for-length Z score,Single,>3-6 months,128,0,0.0079,-0.0724,"[-0.4938, 0.3689]",-0.0779,"[-0.2181, 0.0123]",NA,0.0055,"[-0.3914, 0.4297]"
79,Anemia at gestational week 28,Weight-for-length Z score,All,>6-9 months,558,1,0.2024,0.0774,"[-0.105, 0.2703]",0.0039,"[-0.0091, 0.0224]",NA,0.0735,"[-0.1174, 0.2645]"
80,Anemia at gestational week 28,Weight-for-length Z score,All,>6-9 months,558,0,0.0673,0.0698,"[-0.1064, 0.2569]",0.0045,"[-0.0095, 0.0264]",NA,0.0653,"[-0.1095, 0.2533]"
81,Anemia at gestational week 28,Weight-for-length Z score,Multi,>6-9 months,436,1,0.1689,0.123,"[-0.0785, 0.3327]",-0.002,"[-0.0387, 0.0326]",NA,0.125,"[-0.0742, 0.3283]"
82,Anemia at gestational week 28,Weight-for-length Z score,Multi,>6-9 months,436,0,0.118,0.1143,"[-0.0938, 0.3168]",-0.0018,"[-0.0408, 0.0354]",NA,0.116,"[-0.0783, 0.3157]"
83,Anemia at gestational week 28,Weight-for-length Z score,Single,>6-9 months,122,1,0.496,-0.0219,"[-0.4618, 0.4141]",-0.1011,"[-0.2641, 0.0127]",NA,0.0793,"[-0.3588, 0.5247]"
84,Anemia at gestational week 28,Weight-for-length Z score,Single,>6-9 months,122,0,0.0671,-0.035,"[-0.4499, 0.4352]",-0.0985,"[-0.272, 0.0058]",NA,0.0635,"[-0.3701, 0.5313]"
85,Anemia at gestational week 28,Weight-for-length Z score,All,>9-12 months,548,1,0.0904,0.039,"[-0.1498, 0.2321]",0.0038,"[-0.0097, 0.0237]",NA,0.0352,"[-0.1567, 0.2273]"
86,Anemia at gestational week 28,Weight-for-length Z score,All,>9-12 months,548,0,0.0291,0.0314,"[-0.1528, 0.2233]",0.0039,"[-0.0106, 0.0239]",NA,0.0274,"[-0.1577, 0.2181]"
87,Anemia at gestational week 28,Weight-for-length Z score,Multi,>9-12 months,432,1,0.084,0.1251,"[-0.0873, 0.3358]",0.0003,"[-0.0309, 0.035]",NA,0.1248,"[-0.0814, 0.3304]"
